entry_num,year,month,decimal,average,ndays
1,2016,2,2016.125,404.07,25
2,2016,3,2016.2083,404.87,28
3,2016,4,2016.2917,407.42,23
4,2016,5,2016.375,407.72,29
5,2016,6,2016.4583,406.81,26
6,2016,7,2016.5417,404.4,28
7,2016,8,2016.625,402.26,24
8,2016,9,2016.7083,401.05,24
9,2016,10,2016.7917,401.6,29
10,2016,11,2016.875,403.53,27
11,2016,12,2016.9583,404.44,29
12,2017,1,2017.0417,406.17,27
13,2017,2,2017.125,406.47,26
14,2017,3,2017.2083,407.23,23
15,2017,4,2017.2917,409.03,26
16,2017,5,2017.375,409.69,27
17,2017,6,2017.4583,408.89,26
18,2017,7,2017.5417,407.13,28
19,2017,8,2017.625,405.12,29
20,2017,9,2017.7083,403.37,26
21,2017,10,2017.7917,403.63,27
22,2017,11,2017.875,405.12,26
23,2017,12,2017.9583,406.81,31
24,2018,1,2018.0417,407.96,29
25,2018,2,2018.125,408.32,28
26,2018,3,2018.2083,409.39,29
27,2018,4,2018.2917,410.25,21
28,2018,5,2018.375,411.24,24
29,2018,6,2018.4583,410.79,29
30,2018,7,2018.5417,408.7,27
31,2018,8,2018.625,406.97,31
32,2018,9,2018.7083,405.52,29
33,2018,10,2018.7917,406,30
34,2018,11,2018.875,408.02,24
35,2018,12,2018.9583,409.08,30
36,2019,1,2019.0417,410.83,26
37,2019,2,2019.125,411.75,27
38,2019,3,2019.2083,411.97,28
39,2019,4,2019.2917,413.33,27
40,2019,5,2019.375,414.64,28
41,2019,6,2019.4583,413.93,27
42,2019,7,2019.5417,411.74,25
43,2019,8,2019.625,409.95,29
44,2019,9,2019.7083,408.54,29
45,2019,10,2019.7917,408.52,29
46,2019,11,2019.875,410.25,26
47,2019,12,2019.9583,411.76,31
48,2020,1,2020.0417,413.39,29
49,2020,2,2020.125,414.11,28
50,2020,3,2020.2083,414.51,26
51,2020,4,2020.2917,416.21,28
52,2020,5,2020.375,417.07,27
53,2020,6,2020.4583,416.38,27
54,2020,7,2020.5417,414.38,31
55,2020,8,2020.625,412.55,25
56,2020,9,2020.7083,411.29,29
57,2020,10,2020.7917,411.28,30
58,2020,11,2020.875,412.89,27
