"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLCCEUS","197301","1.935","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197302","1.657","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197303","1.301","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197304","0.852","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197305","0.864","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197306","0.867","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197307","0.856","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197308","0.925","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197309","1.246","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197310","1.452","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197311","1.608","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197312","1.712","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197313","15.275","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197401","2.24","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197402","1.911","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197403","1.532","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197404","1.059","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197405","0.913","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197406","0.872","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197407","0.81","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197408","1.145","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197409","1.4","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197410","1.539","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197411","1.52","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197412","1.73","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197413","16.671","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197501","1.953","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197502","1.276","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197503","1.24","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197504","0.823","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197505","0.659","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197506","0.722","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197507","0.884","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197508","0.825","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197509","1.128","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197510","1.288","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197511","1.352","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197512","1.858","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197513","14.007","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197601","1.767","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197602","1.095","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197603","1.002","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197604","1.155","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197605","0.902","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197606","0.808","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197607","0.621","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197608","0.826","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197609","0.924","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197610","1.191","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197611","1.395","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197612","2.085","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197613","13.772","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197701","1.939","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197702","1.302","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197703","1.146","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197704","1.184","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197705","0.922","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197706","0.955","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197707","0.719","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197708","0.892","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197709","0.842","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197710","1.081","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197711","1.446","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197712","1.687","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197713","14.115","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197801","1.692","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197802","1.737","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197803","1.352","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197804","1.144","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197805","1.031","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197806","0.998","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197807","0.904","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197808","0.922","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197809","1.054","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197810","1.522","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197811","1.618","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197812","1.743","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197813","15.717","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197901","2.194","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197902","1.329","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197903","1.047","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197904","0.94","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197905","0.85","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197906","0.872","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197907","0.756","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197908","0.716","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","197909","0.95","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
