entry_num,year,month,decimal,average,ndays
2,2016,1,2016.0451,402.61,7
3,2016,1,2016.0642,402.98,6
4,2016,1,2016.0833,404.58,5
5,2016,2,2016.1025,403.81,5
6,2016,2,2016.1216,403.67,7
7,2016,2,2016.1407,404.41,7
8,2016,2,2016.1598,404.06,7
9,2016,3,2016.179,404,6
10,2016,3,2016.1981,404.79,7
11,2016,3,2016.2172,405.66,5
12,2016,3,2016.2363,405.45,7
13,2016,4,2016.2555,406.6,4
14,2016,4,2016.2746,408.72,6
15,2016,4,2016.2937,407.45,7
16,2016,4,2016.3128,407.72,5
17,2016,5,2016.332,407.55,7
18,2016,5,2016.3511,407.86,7
19,2016,5,2016.3702,407.31,7
20,2016,5,2016.3893,408.33,6
21,2016,5,2016.4085,407.47,5
22,2016,6,2016.4276,406.87,7
23,2016,6,2016.4467,407.21,6
24,2016,6,2016.4658,406.67,6
25,2016,6,2016.485,405.99,5
26,2016,7,2016.5041,405.57,6
27,2016,7,2016.5232,404.5,6
28,2016,7,2016.5423,403.41,7
29,2016,7,2016.5615,403.85,7
30,2016,7,2016.5806,403.49,6
31,2016,8,2016.5997,402.9,5
32,2016,8,2016.6189,401.87,4
33,2016,8,2016.638,401.89,7
34,2016,8,2016.6571,400.97,5
35,2016,9,2016.6762,400.99,6
36,2016,9,2016.6954,401.35,5
37,2016,9,2016.7145,400.89,7
38,2016,9,2016.7336,400.75,5
39,2016,10,2016.7527,400.94,7
40,2016,10,2016.7719,401.59,6
41,2016,10,2016.791,401.67,7
42,2016,10,2016.8101,402.16,6
43,2016,10,2016.8292,402.8,7
44,2016,11,2016.8484,402.81,6
45,2016,11,2016.8675,403.6,6
46,2016,11,2016.8866,404,7
47,2016,11,2016.9057,404.57,5
48,2016,12,2016.9249,403.9,7
49,2016,12,2016.944,404.83,6
50,2016,12,2016.9631,404.43,7
51,2016,12,2016.9822,404.77,7
52,2017,1,2017.0014,405.95,7
53,2017,1,2017.0205,406.02,7
54,2017,1,2017.0397,406.22,7
55,2017,1,2017.0589,406.52,4
56,2017,1,2017.0781,406.24,6
57,2017,2,2017.0973,406.07,7
58,2017,2,2017.1164,405.95,7
59,2017,2,2017.1356,406.98,5
60,2017,2,2017.1548,407.41,7
61,2017,3,2017.174,406.15,2
62,2017,3,2017.1932,407.1,5
63,2017,3,2017.2123,406.82,6
64,2017,3,2017.2315,408.41,7
65,2017,4,2017.2507,407.64,6
66,2017,4,2017.2699,408.84,6
67,2017,4,2017.289,409.65,6
68,2017,4,2017.3082,409.97,6
69,2017,4,2017.3274,409.2,5
70,2017,5,2017.3466,409.32,7
71,2017,5,2017.3658,410.4,5
72,2017,5,2017.3849,410,7
73,2017,5,2017.4041,409.57,7
74,2017,6,2017.4233,409.69,7
75,2017,6,2017.4425,409.43,4
76,2017,6,2017.4616,408.32,6
77,2017,6,2017.4808,407.76,7
78,2017,7,2017.5,408.07,5
79,2017,7,2017.5192,407.06,7
80,2017,7,2017.5384,406.81,7
81,2017,7,2017.5575,406.73,6
82,2017,7,2017.5767,406.47,6
83,2017,8,2017.5959,405.53,7
84,2017,8,2017.6151,405.2,6
85,2017,8,2017.6342,404.54,7
86,2017,8,2017.6534,404.2,7
87,2017,9,2017.6726,403.69,6
88,2017,9,2017.6918,403.68,7
89,2017,9,2017.711,403.05,5
90,2017,9,2017.7301,402.76,6
91,2017,10,2017.7493,402.95,6
92,2017,10,2017.7685,403.41,7
93,2017,10,2017.7877,403.95,6
94,2017,10,2017.8068,404,6
95,2017,10,2017.826,404.15,6
96,2017,11,2017.8452,404.25,7
97,2017,11,2017.8644,405.07,7
98,2017,11,2017.8836,406.12,5
99,2017,11,2017.9027,406.33,5
100,2017,12,2017.9219,406.74,7
101,2017,12,2017.9411,406.55,7
102,2017,12,2017.9603,406.84,7
103,2017,12,2017.9795,407.21,7
104,2017,12,2017.9986,407.37,7
105,2018,1,2018.0178,408.14,6
106,2018,1,2018.037,407.89,7
107,2018,1,2018.0562,408.27,6
108,2018,1,2018.0753,407.88,7
109,2018,2,2018.0945,408.2,7
110,2018,2,2018.1137,408.37,7
111,2018,2,2018.1329,408.45,7
112,2018,2,2018.1521,408.9,7
113,2018,3,2018.1712,409.83,7
114,2018,3,2018.1904,408.71,6
115,2018,3,2018.2096,409.12,7
116,2018,3,2018.2288,410.02,6
117,2018,4,2018.2479,409.19,7
118,2018,4,2018.2671,409.45,4
119,2018,4,2018.2863,411.05,2
120,2018,4,2018.3055,411.68,6
121,2018,4,2018.3247,409.66,5
122,2018,5,2018.3438,411.06,4
123,2018,5,2018.363,411.87,7
124,2018,5,2018.3822,411.45,5
125,2018,5,2018.4014,411.41,7
126,2018,6,2018.4205,410.94,7
127,2018,6,2018.4397,411.16,7
128,2018,6,2018.4589,410.36,6
129,2018,6,2018.4781,410.56,7
130,2018,7,2018.4973,409.38,5
131,2018,7,2018.5164,409.15,6
132,2018,7,2018.5356,408.54,7
133,2018,7,2018.5548,408.28,7
134,2018,7,2018.574,407.46,6
135,2018,8,2018.5932,407.23,7
136,2018,8,2018.6123,407.07,7
137,2018,8,2018.6315,406.84,7
138,2018,8,2018.6507,406.11,7
139,2018,9,2018.6699,405.49,7
140,2018,9,2018.689,405.39,7
141,2018,9,2018.7082,405.69,7
142,2018,9,2018.7274,405.55,6
143,2018,9,2018.7466,405.5,7
144,2018,10,2018.7658,405.58,7
145,2018,10,2018.7849,406.01,6
146,2018,10,2018.8041,406.62,7
147,2018,10,2018.8233,406.48,6
148,2018,11,2018.8425,406.99,5
149,2018,11,2018.8616,408.73,5
150,2018,11,2018.8808,408.59,6
151,2018,11,2018.9,408.39,7
152,2018,12,2018.9192,408.49,6
153,2018,12,2018.9384,409.4,7
154,2018,12,2018.9575,409.31,7
155,2018,12,2018.9767,409.14,7
156,2018,12,2018.9959,409.6,7
157,2019,1,2019.0151,410.67,6
158,2019,1,2019.0342,410.35,4
159,2019,1,2019.0534,411.98,6
160,2019,1,2019.0726,411.02,7
161,2019,2,2019.0918,411.62,7
162,2019,2,2019.111,412.4,6
163,2019,2,2019.1301,410.98,7
164,2019,2,2019.1493,412.4,7
165,2019,3,2019.1685,412.16,7
166,2019,3,2019.1877,412.16,7
167,2019,3,2019.2068,411.82,7
168,2019,3,2019.226,411.32,4
169,2019,3,2019.2452,412.19,6
170,2019,4,2019.2644,413.14,6
171,2019,4,2019.2836,413.6,7
172,2019,4,2019.3027,413.77,6
173,2019,4,2019.3219,414.29,6
174,2019,5,2019.3411,414.32,7
175,2019,5,2019.3603,415.4,6
176,2019,5,2019.3795,414.74,6
177,2019,5,2019.3986,414.3,7
178,2019,6,2019.4178,414.39,6
179,2019,6,2019.437,414.08,6
180,2019,6,2019.4562,413.86,7
181,2019,6,2019.4753,413.41,6
182,2019,6,2019.4945,413.42,7
183,2019,7,2019.5137,412.08,7
184,2019,7,2019.5329,412.14,3
185,2019,7,2019.5521,410.84,5
186,2019,7,2019.5712,410.06,7
187,2019,8,2019.5904,410.34,7
188,2019,8,2019.6096,410.27,7
189,2019,8,2019.6288,409.57,6
190,2019,8,2019.6479,409.44,6
191,2019,9,2019.6671,408.81,7
192,2019,9,2019.6863,408.59,7
